# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 30
#         #   - cut in l_max (WL): [2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000
#  2000]
#         #   - cut in l_max (GC, XC): [100 100 100 100 100 100 100 100 100 100 100 100 100 100 100]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: Tagn HMcode (1)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31
#             #       - Omega_b: 0.05
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -0.838
#             #       - wa: -0.62
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.16
#             #       - eta1_IA: 1.66
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.239
#             #       - b1_2: 1.378
#             #       - b1_3: 1.525
#             #       - b1_4: 1.677
#             #       - b1_5: 1.832
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.02312
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.26
#             #       - fb: 0.16129032258064518
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: additive mode, n(z') = n(z + dz) (1)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: 0.0
#            #       - w0: [-3.0,-0.3]
#            #       - wa: [-3.0,3.0]
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.0,3.0]
#            #       - b1_2: [0.0,3.0]
#            #       - b1_3: [0.0,3.0]
#            #       - b1_4: [0.0,3.0]
#            #       - b1_5: [0.0,3.0]
#            #       - deltaz_s_1: N(0.0,0.0025012)
#            #       - deltaz_s_2: N(0.0,0.002912)
#            #       - deltaz_s_3: N(0.0,0.003309)
#            #       - deltaz_s_4: N(0.0,0.0038346)
#            #       - deltaz_s_5: N(0.0,0.0050532)
#            #       - deltaz_l_1: N(0.0,0.0065855)
#            #       - deltaz_l_2: N(0.0,0.007528)
#            #       - deltaz_l_3: N(0.0,0.0084995)
#            #       - deltaz_l_4: N(0.0,0.00948)
#            #       - deltaz_l_5: N(0.0,0.0104645)
#         ##############################################################
# Omega_m Omega_b h log10As ns w0 wa log_w log_l
3.812588674670183142e-01 1.341179135524751646e-02 9.170415532242141010e-01 1.885016813459110097e+00 1.097720459473620735e+00 -6.585105345918593756e-01 -2.068467517750124163e+00 -1.138289635333935730e+06 -1.138342050484325737e+06
3.278325450377201911e-01 7.333811259017979090e-02 8.652423737069143694e-01 3.969946478023240743e+00 7.534646240487475888e-01 -2.624863768588804103e+00 2.654855051984175596e+00 -inf -inf
3.047606663560298301e-01 6.457522837695425788e-02 7.491581930744107831e-01 3.611860471033472741e+00 9.610060847231056691e-01 -1.911900240145533170e+00 -1.482902871437708825e+00 -6.859098603045180207e+05 -6.859622754549079109e+05
3.943001154997287094e-01 4.096085351273383995e-02 8.533533973492291036e-01 2.265485140853500834e+00 1.117882417756472790e+00 -9.146763361530849679e-01 7.675596235998582983e-02 -1.932010286683667421e+09 -1.932010339098817825e+09
3.898006467637032957e-01 5.172735516215967722e-02 9.484332903871232068e-01 2.254982939542960807e+00 8.557099815188673464e-01 -2.010582133446123798e+00 -1.446893530000724848e+00 -7.325124188606064999e+05 -7.325648340109963901e+05
3.980457764416521216e-01 9.137308519757349201e-02 8.955253248466221727e-01 3.354945079903468130e+00 7.905625244607094038e-01 -2.250790213301278708e+00 -2.694900790607007934e+00 -1.810608295662380056e+06 -1.810660710812770063e+06
3.741852338535122668e-01 4.863302128975557220e-02 7.244665371917465846e-01 3.238682821125164146e+00 7.590789028185838117e-01 -2.306942497131978964e+00 -4.331832969744917605e-01 -8.139437650087671354e+06 -8.139490065238061361e+06
2.803076799891131565e-01 3.925039309475933380e-02 7.787981460505237763e-01 3.137045387962679843e+00 1.116506628170564674e+00 -2.828294834833822602e+00 2.561509041646067963e+00 -1.215504051315816818e+06 -1.215556466466206824e+06
2.937128169812314171e-01 4.656756540937845995e-02 6.978285700458274343e-01 3.702050955688178213e+00 7.818704820887085738e-01 -2.263249756343476804e+00 -2.944869152151048830e+00 -7.914306789129285607e+05 -7.914830940633184509e+05
2.637521254082186850e-01 9.065977238093093915e-02 4.296857645007160498e-01 3.857521655443482800e+00 9.925769968448940883e-01 -1.786144394279818082e+00 2.365075851859491429e+00 -inf -inf
3.446767346163229773e-01 8.257032439509770505e-02 8.829532068487071506e-01 3.637134168751617658e+00 1.012994576826444781e+00 -2.151889037088789092e+00 -7.707870654670356814e-02 -7.646915282461700961e+06 -7.646967697612090968e+06
2.507028779235100924e-01 1.993225371547398955e-02 9.324301345922165751e-01 2.144880302974605968e+00 9.001185014608640289e-01 -2.378053956553419113e+00 1.466371447843765274e+00 -3.082361072388456389e+07 -3.082366313903495669e+07
2.814444826171796366e-01 4.648575985819283773e-02 6.369857137029882876e-01 2.136858472708655921e+00 7.073306171578295221e-01 -7.092165896976996287e-01 1.784787882671160730e+00 -inf -inf
3.429843282350044653e-01 7.400310457510504702e-02 7.021589238974590419e-01 3.161747790468888653e+00 8.563921585742035880e-01 -2.406836474093251965e+00 -2.973548347075547049e+00 -7.818443274422757095e+05 -7.818967425926655997e+05
3.821415634364944136e-01 1.009645233493381908e-02 5.703750290636601106e-01 2.865528345253772535e+00 1.075056901690250921e+00 -2.205363354956190847e+00 2.336480624151019647e+00 -inf -inf
3.148565763126880968e-01 3.372235545644294147e-02 5.160888845257893820e-01 2.785727577897351814e+00 8.517197733961732187e-01 -3.965034330262238171e-01 2.823383776884536900e+00 -inf -inf
3.493386983210390317e-01 2.178980191055968074e-02 7.620502689774034666e-01 3.848120611982697170e+00 1.004467561372665463e+00 -2.141102358067270117e+00 1.779355668339893448e+00 -9.810959375618718565e+06 -9.811011790769107640e+06
3.060158630075185404e-01 6.302024753177551397e-02 8.428579171748640242e-01 3.968749461907139064e+00 9.718645601595470307e-01 -2.634342012470817007e+00 5.584169427145262432e-01 -3.061065694283703342e+06 -3.061118109434092883e+06
3.671501034822755583e-01 8.750640956654757996e-02 6.330591084799603863e-01 3.144470666165659178e+00 9.759428408568009417e-01 -1.526814981543442640e+00 8.924400251173425502e-01 -3.883512078491663337e+08 -3.883512602643167377e+08
3.340145504018113831e-01 4.064292196469463520e-02 8.411865749807858617e-01 2.242103868203925821e+00 1.034458399156064079e+00 -1.958074800284266725e+00 1.111820903387788384e+00 -1.214043037890165746e+08 -1.214043562041669637e+08
3.973583898121785807e-01 5.704309640393947362e-02 4.366841513350903092e-01 2.610863850164244937e+00 7.106278986184531021e-01 -2.394478847974601976e+00 1.657374733495782237e-01 -2.726143531783206388e+06 -2.726195946933595929e+06
3.024403362141971918e-01 1.023033852473042606e-02 6.817752250156259297e-01 3.413189275846112203e+00 7.671715718845946164e-01 -2.784012493408499545e+00 -2.751837830169540311e+00 -1.193443088830007007e+06 -1.193495503980397014e+06
2.527349134899244953e-01 3.327231942133081904e-02 6.948274081387204593e-01 2.464555002296124453e+00 1.010360625841053794e+00 -2.413302434296010990e+00 2.563681697205546506e+00 -inf -inf
3.933303037148382364e-01 8.255115178959814004e-02 4.125042547687796102e-01 3.279193882261612458e+00 8.356699303262844492e-01 -2.835689107373878581e+00 2.796922511633444408e+00 -1.553370976566520882e+10 -1.553370981808035851e+10
3.177806899375615890e-01 5.777672101738260541e-02 7.457183781848292226e-01 2.176384361901246844e+00 1.130877231848002928e+00 -9.128368467344922799e-01 1.635082360498324228e+00 -inf -inf
3.542526829997044713e-01 2.544855915695026782e-02 9.930072575690183090e-01 3.954949258577408422e+00 1.037392980974364498e+00 -1.560142617100045426e+00 1.854552083934033035e+00 -inf -inf
3.612629881525102338e-01 9.671896173901955995e-02 4.425775733138457846e-01 2.856872679934562065e+00 1.170075833365597617e+00 -7.433539844101741956e-01 8.806808656221249976e-01 -inf -inf
2.625591096368821153e-01 6.520315249083996623e-02 6.499510258437050103e-01 3.259176101275962800e+00 9.501258317669247777e-01 -1.230824590538915242e+00 -2.403098630596958607e+00 -1.243129158528255224e+09 -1.243129210943405628e+09
3.218447330085517644e-01 8.160700970966167089e-02 8.988485638030857539e-01 3.152699568352628212e+00 1.069256476501735831e+00 -2.274371044901307037e+00 8.743119110759498547e-01 -1.115527657250290550e+07 -1.115532898765329458e+07
3.914892741231990048e-01 8.045084457752733897e-02 4.858107229052089915e-01 3.288739204441421649e+00 9.776804501683853399e-01 -4.616195563197540430e-01 2.319381435401920655e+00 -inf -inf
3.482296422051621709e-01 8.204045863150827289e-02 6.600699657498381168e-01 2.644092952752980619e+00 7.824354231327874665e-01 -3.185768522460530328e-01 1.617941237518838449e+00 -inf -inf
2.759164214614519550e-01 2.216840829370799598e-02 6.416208305943369439e-01 2.702452529944699755e+00 8.389525972469654702e-01 -1.169876339624003059e+00 1.419898207693539582e+00 -inf -inf
2.731842916350293859e-01 3.297001636582953810e-02 9.550788390620028601e-01 3.397635146133086259e+00 9.252044928794422862e-01 -1.441339794041718747e+00 -2.117948801906671896e+00 -1.860930891878809081e+06 -1.860983307029199088e+06
3.582242926180315146e-01 8.333096161094837029e-02 7.100464326256088476e-01 2.178897524203674330e+00 1.186397542596347332e+00 -2.829526698684146080e+00 2.468974987005308819e+00 -4.975383412143694609e+07 -4.975388653658733517e+07
3.553113987996657785e-01 5.423895705043231541e-02 5.430879371311365666e-01 2.884820670715965818e+00 6.589385565232147579e-01 -3.363871304381076399e-01 7.156053387876957217e-01 -inf -inf
2.761942886660644914e-01 4.188111280930024299e-02 9.253608967935141871e-01 3.229401761988168751e+00 1.031564317291915334e+00 -4.913684843679435588e-01 5.626960153277433818e-01 -inf -inf
3.274829859033611679e-01 6.307757802823278637e-02 5.551267301925848496e-01 3.173958613183027744e+00 6.139687722358394550e-01 -1.764030821671075167e+00 5.522267228483634938e-02 -8.331134673790275119e+06 -8.331187088940665126e+06
2.801046144698212670e-01 7.510716451919728642e-02 8.728793504305707440e-01 2.215511928410013098e+00 8.984271439385129732e-01 -9.365819312930812046e-01 2.431725693244647601e+00 -inf -inf
2.946052693505525344e-01 8.083064022632666101e-02 8.028444815243735988e-01 2.611926899615045539e+00 1.163163643510356504e+00 -2.526908802178386537e+00 -1.370908748448268710e+00 -3.343249930342501402e+08 -3.343250454494005442e+08
2.830536815558784003e-01 7.242952310218642165e-02 9.503239555084929124e-01 3.689458939346537569e+00 7.286174374642239160e-01 -2.667297368084976306e+00 -2.880467625109706553e+00 -7.716041476369919255e+05 -7.716565627873818157e+05
3.377877648024001367e-01 2.566290048040167221e-02 9.388353313104720321e-01 2.033572662952230825e+00 8.068684319179578734e-01 -1.782485803574019423e+00 1.177303122495269250e+00 -8.066466381287123077e+06 -8.066518796437513083e+06
3.058977169464916490e-01 1.824424714621159654e-02 4.316842947935770614e-01 1.933671548384797045e+00 8.253470592782490289e-01 -2.247365502600725762e+00 1.663641417699741609e+00 -3.534627655332634598e+07 -3.534632896847673506e+07
3.830061950085543732e-01 1.396933939013602841e-02 9.512203541530914741e-01 2.607854402347785872e+00 1.150386797352628054e+00 -2.049972785808879649e+00 1.279290901263688163e+00 -2.951555843443291262e+07 -2.951561084958330542e+07
3.607339744765408751e-01 6.012816564486996029e-02 5.538729123444355862e-01 2.610442837431421914e+00 6.125771341766388378e-01 -4.755660184527616963e-01 3.615630199070238859e-01 -6.888422812380328833e+04 -6.893664327419319307e+04
