# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - sigma8: 0.83
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - b1_1: 1.239
#             #       - b1_2: 1.378
#             #       - b1_3: 1.525
#             #       - b1_4: 1.677
#             #       - b1_5: 1.832
#             #       - b2_1: 0.0
#             #       - b2_2: 0.0
#             #       - b2_3: 0.0
#             #       - b2_4: 0.0
#             #       - b2_5: 0.0
#             #       - b1L_1: 0.239
#             #       - b1L_2: 0.378
#             #       - b1L_3: 0.525
#             #       - b1L_4: 0.677
#             #       - b1L_5: 0.832
#             #       - b2L_1: 0.46036128
#             #       - b2L_2: 0.4845956
#             #       - b2L_3: 0.5480625
#             #       - b2L_4: 0.65459134
#             #       - b2L_5: 0.80604922
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - log10Mc_bc: 13.8
#             #       - eta_bc: -0.3
#             #       - beta_bc: -0.22
#             #       - log10Mz0_bc: 10.5
#             #       - thetaout_bc: 0.25
#             #       - thetainn_bc: -0.86
#             #       - log10Minn_bc: 12.4
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - sigma8_cb: 0.83
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameter priors:
#         
#            #       - Omega_m: 0.31
#            #       - Ombh2: 0.02268
#            #       - h: 0.68
#            #       - sigma8: 0.83
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#            #       - b1L_1: 0.239
#            #       - b1L_2: 0.378
#            #       - b1L_3: 0.525
#            #       - b1L_4: 0.677
#            #       - b1L_5: 0.832
#            #       - b2L_1: 0.46036128
#            #       - b2L_2: 0.4845956
#            #       - b2L_3: 0.5480625
#            #       - b2L_4: 0.65459134
#            #       - b2L_5: 0.80604922
#            #       - bs2L_1: 0.0
#            #       - bs2L_2: 0.0
#            #       - bs2L_3: 0.0
#            #       - bs2L_4: 0.0
#            #       - bs2L_5: 0.0
#            #       - blaplL_1: 0.0
#            #       - blaplL_2: 0.0
#            #       - blaplL_3: 0.0
#            #       - blaplL_4: 0.0
#            #       - blaplL_5: 0.0
#            #       - log10Mc_bc: [9.0,15.0]
#            #       - eta_bc: [-0.69,0.69]
#            #       - beta_bc: [-1.0,0.69]
#            #       - log10Mz0_bc: [9.0,13.0]
#            #       - thetaout_bc: [0.0,0.47]
#            #       - thetainn_bc: [-2.0,-0.52]
#            #       - log10Minn_bc: [9.0,13.5]
#         ##############################################################
#              log10Mc_bc          eta_bc          beta_bc          log10Mz0_bc          thetaout_bc          thetainn_bc          log10Minn_bc        log_w   log_l
1.131953229379596060e+01 -5.151480609418259693e-01 -5.629252522569432315e-01 1.213768598415813393e+01 4.649127470714030652e-01 -1.903051474886124472e+00 1.220161481225013844e+01 -8.736831537913531065e+02 -5.005376103741507046e+06
9.588376649630728110e+00 5.778936365653157825e-01 2.382083616816677019e-01 1.253871210363676525e+01 1.517389369262749643e-01 -1.933341525184918197e+00 9.567130485033356280e+00 -1.772902898699045181e+03 -5.006275323486414738e+06
1.120177736622482811e+01 -4.209541390204230016e-01 6.584190716250191144e-01 1.051906379671108738e+01 2.549230352393720977e-01 -1.068321896204385224e+00 1.068392693483355593e+01 -1.076305478897877038e+03 -5.005578726066613570e+06
1.083160014734476739e+01 -4.925239480175377937e-01 7.047891197469380309e-02 9.381482765754540765e+00 3.719091199936405689e-01 -1.694762239663941683e+00 1.192948358896065741e+01 -1.467295472343452275e+03 -5.005969716060059145e+06
9.087679601737992385e+00 -6.473508763548873057e-01 -5.831733941813406208e-01 1.188456041454868384e+01 1.528905318256525148e-01 -1.951124422449587836e+00 1.171119581861651504e+01 -1.365264720887877047e+03 -5.005867685308603570e+06
1.474122960035493435e+01 8.635328669320263550e-03 2.921841031199148286e-01 1.221337191773010389e+01 1.685706376769258164e-01 -1.180897410388485280e+00 1.328558688084329731e+01 -5.777076746718958020e+02 -5.005080128262387589e+06
1.103028840727197846e+01 -7.156076427728086387e-02 6.207806172251335575e-01 1.014361916138432562e+01 2.940784233003250481e-02 -1.509657651385751365e+00 1.092952877254588273e+01 -1.299490600999444723e+03 -5.005801911188715138e+06
1.259067938382492891e+01 -4.484120538236331943e-01 -2.411649752066921115e-01 1.259676885686892867e+01 1.113280878910110350e-01 -1.532461407895798100e+00 1.099727827913673117e+01 -9.092757005812600255e+02 -5.005411696288296953e+06
1.129047392809764006e+01 4.682768746584218267e-01 4.392219753443269425e-01 9.245218323216802148e+00 2.368885167787579682e-01 -1.236360002349092602e+00 1.199111192794944358e+01 -1.139652519437484443e+03 -5.005642073107153177e+06
1.153187574950677430e+01 3.287307929315270716e-01 -9.327215492375584560e-03 9.045815054165244007e+00 4.420241461199619915e-01 -1.734885725801346368e+00 1.242712300249746349e+01 -1.278815259076654911e+03 -5.005781235846792348e+06
1.124602118480680701e+01 -2.669803266651237794e-01 -4.991408904344574182e-03 9.148895362237221107e+00 4.208172449563704065e-01 -8.390346236908268196e-01 1.067541071080489168e+01 -7.732716378699988127e+02 -5.005275692225585692e+06
1.177077379858543793e+01 4.762781877731214752e-01 1.542936456986303551e-01 1.085225941296904573e+01 3.949300660616705261e-01 -1.455932912677964541e+00 1.334075108031190382e+01 -1.045646133215166628e+03 -5.005548066720930859e+06
9.264609580720296833e+00 8.670875298626723460e-02 -4.336260810093429674e-01 1.226600823581530797e+01 2.224261188304466341e-01 -1.378276441912056560e+00 1.073061980234676582e+01 -1.300738431025296450e+03 -5.005803159018740989e+06
9.640348805402959798e+00 3.037042633014078730e-01 -1.145555517119355438e-01 1.236576606204275919e+01 7.559115198327789886e-02 -9.706377224203024401e-01 1.190016130425429175e+01 -9.820822799401357770e+02 -5.005484502867655829e+06
1.086445612087365475e+01 -2.538642670169027338e-01 -5.558782692903889711e-01 1.134483917721052038e+01 6.976322533495268874e-02 -1.523277797851295023e+00 1.241257040756100416e+01 -6.982404416361823678e+02 -5.005200661029351875e+06
9.598251118874600252e+00 4.148001306869280036e-01 2.753156632425501904e-02 1.133664876975170621e+01 1.662255705996592281e-01 -1.063988393873129823e+00 1.219467928199171247e+01 -1.006827852188609540e+03 -5.005509248439904302e+06
9.065133382767418979e+00 3.226603257100468802e-01 -4.942201708078938216e-01 1.254422826589969198e+01 4.502473749176505446e-01 -1.411289883468419326e+00 9.738252471155337986e+00 -1.241205858933739364e+03 -5.005743626446649432e+06
1.242256068948775294e+01 -3.852212432610563897e-01 -2.319666151408483756e-02 1.206803427285996833e+01 3.268445318672101862e-01 -8.102717289560283920e-01 9.508552633208175564e+00 -7.422684746803715825e+02 -5.005244689062396064e+06
