# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC (3x2pt)
#         # Sky Fraction (fsky): 0.4
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 10
#         #   - l_bin: 100
#         #   - l_max (WL): 3000
#         #   - l_max (GC, XC): 1000
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 1.72
#             #       - etaIA: -0.9
#             #       - b1_1: 0.87074
#             #       - b1_2: 1.13866
#             #       - b1_3: 1.29472
#             #       - b1_4: 1.47662
#             #       - b1_5: 1.98016
#             #       - b2_1: 1.74148
#             #       - b2_2: 2.27732
#             #       - b2_3: 2.58944
#             #       - b2_4: 2.95324
#             #       - b2_5: 3.96032
#             #       - b1L_1: -0.12926
#             #       - b1L_2: 0.13866
#             #       - b1L_3: 0.29472
#             #       - b1L_4: 0.47662
#             #       - b1L_5: 0.98016
#             #       - b2L_1: 0.28213962
#             #       - b2L_2: 0.23224054
#             #       - b2L_3: 0.2329498
#             #       - b2L_4: 0.26144022
#             #       - b2L_5: 0.49562399
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - Omega_b: 0.04904844290657438
#             #       - Omega_nu: 0.0
#             #       - fb: 0.1582207835695948
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.15,0.6]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [0.0,12.1]
#            #       - etaIA: [-7.0,6.17]
#            #       - b1_1: [0.0,4.0]
#            #       - b1_2: [0.0,4.0]
#            #       - b1_3: [0.0,4.0]
#            #       - b1_4: [0.0,4.0]
#            #       - b1_5: [0.0,4.0]
#         ##############################################################
#           Omega_m   Ombh2   h   log10As   ns   aIA   etaIA   b1_1   b1_2   b1_3   b1_4   b1_5   log_w   log_l
4.012011610566922348e-01 2.234110512267880114e-02 6.128586568796607903e-01 3.713252229534226956e+00 9.672444490259962668e-01 1.204589779597726817e+01 5.043651680360564882e+00 1.198655571355487837e+00 1.821007176103546676e+00 1.579316190389587149e+00 1.937487937844756480e+00 3.355683797378032462e+00 -5.282975772900404036e+07 -6.283761580973932147e+07
5.104427500039416810e-01 2.278526268837103089e-02 5.659329747901236107e-01 2.540647195862276053e+00 9.674046467860774046e-01 8.709285145355240232e+00 5.753518857919997842e+00 1.052700584940068573e+00 3.054412696460238053e+00 3.023944441568624519e-01 1.049161885634974922e-01 1.396485111791651246e+00 -5.221262937077639997e+07 -6.222048745151167363e+07
1.680444720128817238e-01 2.291874165272334007e-02 6.141307893704895937e-01 3.787931766193905148e+00 9.747758838738609377e-01 9.260738797463288208e+00 4.548294282507812980e+00 3.739372151640478315e+00 3.720059909731906700e+00 2.975958278336717555e+00 3.016028608646705411e+00 7.945244973612859418e-01 -1.010078440675299615e+07 -2.010864248748827726e+07
3.688092460572732767e-01 2.303628917662659328e-02 6.994814739648030910e-01 1.805379822148091007e+00 9.725637168595315796e-01 9.066860196957909679e+00 1.987005651476287937e+00 2.674511257985428436e+00 2.963164764884074209e+00 3.863478714922475188e+00 9.234005561392470973e-01 1.399165497505794775e+00 -5.813630426579587162e+06 -1.582148850731486827e+07
2.477060375948297311e-01 2.261615328023774268e-02 6.932722745856330082e-01 3.742748405748809404e+00 9.739854421957864217e-01 7.299861895842735038e+00 5.604706767287233049e+00 2.926954511484587407e+00 2.624779611556036230e+00 1.739925447309633277e+00 2.763815099926052010e+00 2.648903902419170731e+00 -3.587415450631012022e+07 -4.588201258704540133e+07
3.568540683876278985e-01 2.248607454711279083e-02 7.372217314641403840e-01 2.782173201686384267e+00 9.681422048289350935e-01 1.008995962664930701e+01 4.434464134473538266e+00 3.155787902020589897e+00 3.256472401555726481e+00 1.816752644320991372e+00 2.640120131420089500e-01 3.572463557239250243e+00 -3.528724819421906769e+07 -4.529510627495434135e+07
2.134456525804510063e-01 2.309642699677730282e-02 5.070441919883041937e-01 3.951196034421336378e+00 9.721486559181179432e-01 1.050128121426150685e+01 5.507015090822454439e+00 2.361256755329477208e-01 3.474890961206135831e+00 2.371704782221776053e+00 2.961450338294334905e+00 2.148096707483584389e+00 -2.385677927407799289e+07 -3.386463735481327027e+07
4.600527112750447678e-01 2.282674619270813263e-02 6.145645992988139072e-01 3.067290170739240374e+00 9.694663737821993532e-01 6.232632243753479795e-01 4.554689004557943122e+00 1.478199624832637227e+00 2.984106288719153621e+00 1.889831893300311094e+00 8.216551710182629087e-01 2.827043784325128595e+00 -4.577500101157348603e+06 -1.458535818189262971e+07
3.590690377963767776e-01 2.342959725755703118e-02 8.387588047921488155e-01 2.916854513864783893e+00 9.722376684261138102e-01 3.434085323639796794e+00 3.757169927531608167e+00 2.496050834007805364e+00 1.105407570847791732e+00 2.238759433459795112e+00 2.701335656528084606e+00 2.566595157328262378e+00 -1.285280663202417642e+07 -2.286066471275945753e+07
3.289356050260732189e-01 2.262724868860452321e-02 6.181576604792308194e-01 3.547228404536426183e+00 9.776680697890519633e-01 5.940131680760742938e-01 4.469067973646556169e+00 2.709323771062186026e+00 2.586408120059952243e+00 2.756967795668584298e+00 3.384382662946649134e+00 6.437440315229165932e-01 -3.407751458756119013e+06 -1.341560953949140012e+07
