# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_c: 0.2595584093001346
#             #       - Omega_b: 0.04904844290657439
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 2.17
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.02268
#             #       - Omch2: 0.12001980846038225
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_m: 0.3100014598421439
#             #       - Omega_cb: 0.30860685220670897
#             #       - fb: 0.15822003848482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: [0.0,5.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          beta_IA        log_w   log_l
4.738717960685970843e-01 3.769466511162861133e-02 8.215426404751933198e-01 3.877384469144976364e+00 7.548966755402808371e-01 3.310673020476618822e-01 7.604600906515612380e+00 -7.712937580313639074e-01 -3.060550396987606891e+00 1.639552122240585108e+00 -4.970868101666331291e+06 -4.970880443054475822e+06
6.058260612829604597e-01 5.018916263228916791e-02 6.742611521039429956e-01 3.646971853820375919e+00 7.975366652574412685e-01 2.763211268398787501e-01 8.177076418500215382e+00 1.335312803320375608e+00 -4.728698331472344307e+00 3.686468585584921076e+00 -3.281483665493589826e+06 -3.281496006881733891e+06
4.290177869034464964e-01 3.014267555164024809e-02 5.991303507870117118e-01 2.320497032198767240e+00 1.132470985475566128e+00 3.058550809211650345e-01 7.779406583583181600e+00 -1.117193206205651990e+00 4.822800739288181759e+00 9.278003981549781676e-01 -3.582592948528655171e+08 -3.582593071942536235e+08
2.388848670690982001e-01 1.179791901571512064e-02 4.094202173804314393e-01 2.459842617881995430e+00 6.930270902660033983e-01 2.662602789207684784e-01 7.678089165282428574e+00 4.216068933804448804e+00 3.534273610990766201e+00 2.910104836729221933e+00 -2.524834719879863411e+07 -2.524835954018677771e+07
6.144252987915876929e-01 5.427609974256419889e-02 9.734688370031336913e-01 2.136295234583397651e+00 9.083893013221021606e-01 6.737624715087209282e-02 7.797943937577121787e+00 -3.352039756547533500e+00 -2.795617198654201108e+00 2.528293821384640871e+00 -8.465189420491445344e+05 -8.465312834372885991e+05
6.380204936694959805e-01 9.033795439057278054e-02 8.520146289685081031e-01 2.949741262087631100e+00 1.152095573874407197e+00 1.855766089411337028e-01 7.968514775097609970e+00 -3.925084856410210321e-01 -2.837487815986920126e+00 1.010093070361974821e+00 -5.686796180025216192e+06 -5.686808521413360722e+06
7.368823520571380348e-01 5.826309074937143645e-02 5.000663043303097410e-01 3.721733496564525012e+00 7.294657437125359190e-01 1.107064216273012103e-01 8.177085211958004862e+00 4.759491582614755245e+00 -3.827012220506954776e+00 1.348930155761764560e+00 -1.992283682456376031e+06 -1.992296023844520096e+06
4.228581364069129434e-01 2.246084661542314259e-02 8.568957563541090838e-01 2.976866344754885318e+00 9.314786513409465396e-01 2.839522092694699018e-01 8.103840759830839957e+00 2.013581373826454524e+00 -2.553052537562171764e+00 9.339195018600660037e-01 -7.847920529317040928e+05 -7.848043943198481575e+05
6.338839162318348208e-01 8.962748999272067418e-02 4.169751874948225412e-01 1.841486845664390692e+00 7.701677901547825389e-01 4.011119719173428799e-01 7.889800548627558641e+00 -2.799087444128543822e+00 3.032214896999789744e+00 2.097352888856688580e+00 -3.420128780876278877e+07 -3.420130015015093237e+07
3.377512267508135935e-01 9.902934245694665349e-02 9.719099998863464096e-01 3.848508944334274595e+00 1.046906225543708713e+00 3.575586850541391803e-01 7.653078454367126859e+00 -1.612474257036136116e+00 1.387250993475314331e+00 8.886773959197619144e-01 -3.578894323801672552e+06 -3.578906665189816616e+06
