# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: 1.0
#            #       - eta2_IA: 0.0
#            #       - b1_IA: 1.0
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA        log_w   log_l
6.005067500047756024e-01 8.581739734772773909e-02 9.445775890645116135e-01 3.959418198782922893e+00 1.081047231445978252e+00 3.381079489869615040e-02 8.201587963539223480e+00 3.954920886413029635e+00 -2.578524932046185825e+00 -3.338613409861679748e+07 -3.338617461423831433e+07
5.006632757887921059e-01 9.892713036406952654e-02 7.772458216333577585e-01 2.448264032140675894e+00 7.977516012062044748e-01 1.200123955483498595e-01 7.673274620353613962e+00 2.481786498401076457e+00 2.855272505327111965e+00 -1.579450134498408809e+07 -1.579454186060560495e+07
4.280843796348470232e-01 6.701536552355714937e-02 7.364480633399353993e-01 2.741543843787273893e+00 6.201840140852963312e-01 2.078123974271237628e-01 8.141646558307167325e+00 1.919870297796801850e+00 3.279165844624818860e+00 -1.116018530025981925e+07 -1.116022581588133611e+07
4.782693272698965714e-01 7.602895240921907216e-02 4.145894630230728128e-01 2.659849201549394415e+00 1.010054040548244103e+00 4.507530114504866847e-01 7.924199245715702666e+00 -4.844392595639741117e+00 4.935691199376382343e+00 -4.010253392865944672e+10 -4.010253396917506409e+10
6.240670849138668652e-01 1.498531448798143088e-02 8.090035459549986818e-01 3.808323520206694290e+00 7.666858517661255812e-01 2.203493776484373723e-01 8.129926029902112106e+00 8.259037586909814266e-01 1.964705982060541700e+00 -1.405075417848261073e+07 -1.405079469410412759e+07
7.230673142801512521e-01 4.925350496159140029e-02 7.755831910654038541e-01 3.838002890276840162e+00 6.605251113975231236e-01 2.885083662468590493e-02 8.139586147073943678e+00 7.558796782151668836e-01 -4.214355906484121839e+00 -1.395170129925020970e+07 -1.395174181487172656e+07
6.252108206410490476e-01 7.433518360233533351e-02 5.315358636347805588e-01 3.292075487629650965e+00 6.144905587831064331e-01 4.898808037382734737e-02 8.020663652009044853e+00 -2.871095421915554891e+00 1.374801381822841506e+00 -2.353123345371403731e+06 -2.353163860992920119e+06
7.538306144103077422e-01 9.704576487318593292e-02 7.982606467076343026e-01 3.340231568940692952e+00 9.762139210148632618e-01 2.907742384701234029e-02 7.703836414328467441e+00 -3.068809229069390021e+00 2.568219092829479244e+00 -1.672478069488419056e+09 -1.672478110004040480e+09
5.472454311687201534e-01 4.907443374383459872e-02 7.736376752408058444e-01 2.692044702752997232e+00 1.090404490203176646e+00 5.362765246031225841e-02 8.295191503505972008e+00 -2.958532255930982124e+00 -2.631882571818286110e+00 -1.480797030341960024e+06 -1.480837545963476645e+06
6.483171350630955176e-01 3.250603896568615703e-02 8.181588883954415969e-01 2.204070431433851063e+00 9.849753229051343428e-01 3.382283009789094352e-01 8.019346775284491358e+00 -1.189567546859978897e+00 1.780908642773383121e+00 -1.869211646417126991e+06 -1.869252162038643612e+06
