# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
4.584265172171105851e-01 4.183580520826986338e-02 5.733359011576846243e-01 2.056647311423138280e+00 1.178415583845636716e+00 3.215815254554939551e-01 7.868513759762724824e+00 -4.889278025309460318e+00 2.409933571878436709e+00 3.165238893184085356e+00 -2.578609333358767852e+00 9.521431844912100484e-01 -1.242875053330047987e+07 -1.242877271308163181e+07
5.783011170694384306e-01 4.922973681415558633e-02 5.555562633779370652e-01 3.672020937463582158e+00 1.062000277085419109e+00 1.758375173140553915e-01 8.007314844175256852e+00 3.583980731431513078e-02 3.685496483547357371e+00 -4.611118656940256244e-01 -3.752551782397879343e+00 1.183504349693345725e+00 -2.193971847073228564e+06 -2.193994026854380500e+06
7.468851221512411431e-01 1.966549481702785374e-02 8.206940884912785616e-01 2.583666350660501543e+00 8.687857920645152277e-01 3.268361653872719486e-01 8.091208171592738196e+00 -3.022254812935435631e+00 -4.833546045083794596e+00 -2.106310731044960249e-01 -3.248628161004398773e+00 6.615141657200802605e-01 -6.037818204952503555e+06 -6.037840384733655490e+06
7.637630612368584426e-01 6.677955213236423659e-02 9.228988310593138067e-01 2.597148042481331576e+00 7.298461462064533833e-01 2.911411995203230796e-01 7.812144873108587184e+00 4.129864333016708855e+00 1.472484192716950524e+00 1.867571846780955447e+00 6.274827039832473474e-01 1.689325615498212363e+00 -3.179513755514388084e+09 -3.179513777694169521e+09
5.682740613308790989e-01 3.235259176223503896e-02 6.444556255175143411e-01 3.567277874599663612e+00 1.129679672541690438e+00 3.781542837467679607e-01 8.297452636731598830e+00 -1.866374706962815821e+00 5.993256383107512519e-01 -4.212923580980350913e+00 -3.568157141975998314e-01 8.076216245002696414e-01 -8.310739576216790676e+08 -8.310739798014602661e+08
7.115065925746901776e-01 4.667501652857697358e-02 6.052725564487436705e-01 1.863986595008900737e+00 1.057041708740027675e+00 1.264549006464804060e-01 7.633411285910213451e+00 3.848862926580574495e+00 -2.866300725641810487e-01 3.875685701820174245e+00 2.951618971832257188e+00 7.900091630560253098e-01 -2.890014700949713707e+09 -2.890014723129495144e+09
7.244357097074384244e-01 4.710052202621128892e-02 5.458047922540393282e-01 3.849516966008036611e+00 6.988743130087325950e-01 2.088441750371729522e-01 7.635588220884634403e+00 4.816611335233091040e+00 2.384979232091978929e+00 4.625471886764248808e+00 9.829348724636872703e-01 2.029050736011699385e-01 -1.923715198935646820e+10 -1.923715201153625107e+10
4.481412758539478070e-01 9.092329206608511238e-02 5.836474724026379235e-01 3.595095496081074593e+00 9.771867502761520941e-01 1.702258588349037094e-02 7.907315956276318225e+00 -3.541675793709416986e+00 -4.041311538677064163e+00 3.989011306242060684e-01 4.720117415754105039e+00 3.374309904992294218e-01 -4.336942800407975912e+08 -4.336943022205787301e+08
4.706347519435848392e-01 8.083095896811252901e-02 6.240846837545934722e-01 3.430078273152937562e+00 9.408070988100476484e-01 1.115561225974038839e-01 7.991702211610975048e+00 -3.428861256156694459e+00 2.304761391059494180e+00 -4.601378207049091174e+00 -3.386727115644068142e+00 8.719558041497565970e-01 -1.551476709915897846e+08 -1.551476931713709533e+08
7.234472049517314263e-01 8.064126553003619913e-02 7.573660009559671780e-01 3.113408397369726188e+00 1.153004759010551439e+00 1.393955773546149968e-01 7.959902555181673556e+00 -4.448302710225950918e+00 1.300251003053327636e+00 -4.518304596393802441e+00 -4.602775148973613284e+00 7.136507493374155686e-02 -1.496821421298713923e+09 -1.496821443478494883e+09
