# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - sigma8: 0.83
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - b1_1: 1.239
#             #       - b1_2: 1.378
#             #       - b1_3: 1.525
#             #       - b1_4: 1.677
#             #       - b1_5: 1.832
#             #       - b2_1: 0.0
#             #       - b2_2: 0.0
#             #       - b2_3: 0.0
#             #       - b2_4: 0.0
#             #       - b2_5: 0.0
#             #       - b1L_1: 0.239
#             #       - b1L_2: 0.378
#             #       - b1L_3: 0.525
#             #       - b1L_4: 0.677
#             #       - b1L_5: 0.832
#             #       - b2L_1: 0.46036128
#             #       - b2L_2: 0.4845956
#             #       - b2L_3: 0.5480625
#             #       - b2L_4: 0.65459134
#             #       - b2L_5: 0.80604922
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - log10Mc_bc: 13.8
#             #       - eta_bc: -0.3
#             #       - beta_bc: -0.22
#             #       - log10Mz0_bc: 10.5
#             #       - thetaout_bc: 0.25
#             #       - thetainn_bc: -0.86
#             #       - log10Minn_bc: 12.4
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - sigma8_cb: 0.83
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameter priors:
#         
#            #       - Omega_m: 0.31
#            #       - Ombh2: 0.02268
#            #       - h: 0.68
#            #       - sigma8: 0.83
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#            #       - b1L_1: 0.239
#            #       - b1L_2: 0.378
#            #       - b1L_3: 0.525
#            #       - b1L_4: 0.677
#            #       - b1L_5: 0.832
#            #       - b2L_1: 0.46036128
#            #       - b2L_2: 0.4845956
#            #       - b2L_3: 0.5480625
#            #       - b2L_4: 0.65459134
#            #       - b2L_5: 0.80604922
#            #       - bs2L_1: 0.0
#            #       - bs2L_2: 0.0
#            #       - bs2L_3: 0.0
#            #       - bs2L_4: 0.0
#            #       - bs2L_5: 0.0
#            #       - blaplL_1: 0.0
#            #       - blaplL_2: 0.0
#            #       - blaplL_3: 0.0
#            #       - blaplL_4: 0.0
#            #       - blaplL_5: 0.0
#            #       - log10Mc_bc: [9.0,15.0]
#            #       - eta_bc: [-0.69,0.69]
#            #       - beta_bc: [-1.0,0.69]
#            #       - log10Mz0_bc: [9.0,13.0]
#            #       - thetaout_bc: [0.0,0.47]
#            #       - thetainn_bc: [-2.0,-0.52]
#            #       - log10Minn_bc: [9.0,13.5]
#         ##############################################################
#              log10Mc_bc          eta_bc          beta_bc          log10Mz0_bc          thetaout_bc          thetainn_bc          log10Minn_bc        log_w   log_l
1.246609233600016253e+01 -2.388949246962073780e-01 4.970856521662676553e-01 1.057047316635283174e+01 4.136151317433803265e-01 -1.236427650712494053e+00 1.059971489810197554e+01 -1.146091650085523725e+03 -6.019900651526123285e+06
9.476393940714368469e+00 -4.582925581800690318e-01 -1.392245028785854544e-01 1.294020928315399210e+01 2.448883877428765232e-01 -1.335485793759767059e+00 1.310451697154050343e+01 -1.304205280989408493e+03 -6.020058765157027170e+06
1.127704191225985753e+01 6.431774280799120724e-01 -2.356094660799485929e-01 1.187214843465093850e+01 1.121588909027218944e-01 -1.097456345035829894e+00 1.042030465059422362e+01 -1.086435483881272376e+03 -6.019840995359919034e+06
9.608323152614328677e+00 3.746900635136785063e-01 1.178545314611409989e-01 1.105494860112916555e+01 1.785797658577941704e-01 -9.838166508671266630e-01 1.179795982801985410e+01 -1.025951820334419608e+03 -6.019780511696372181e+06
9.020598982610628980e+00 -3.734322343346052619e-02 -4.121842016847128143e-01 1.215791604571098894e+01 1.124538065748828669e-01 -1.557100694745639835e+00 1.127452292492809605e+01 -1.450854060241952538e+03 -6.020205413936279714e+06
1.307877989601344737e+01 1.528088078209495215e-01 3.469418715950776111e-01 1.097950860645567950e+01 3.610229950186789050e-01 -1.978522763590552458e+00 1.098068807260223068e+01 -1.312585458185523748e+03 -6.020067145334223285e+06
1.140818749655438324e+01 3.603006353127233830e-01 -4.687428440089987935e-01 1.193084090336422776e+01 5.325426812886337874e-02 -1.821863270680733837e+00 1.192593579050777208e+01 -8.489843396712094545e+02 -6.019603544215708971e+06
1.066946960459359062e+01 3.049912504721443707e-01 -2.455166519659013336e-02 1.125589531267400467e+01 2.393746442430111088e-01 -7.195449424212005951e-01 1.212101250633332228e+01 -7.874440655019134283e+02 -6.019542003941539675e+06
1.245006888468148532e+01 -5.843309437858420496e-01 -2.370038836696508611e-04 9.483090244204632313e+00 4.044733830998076263e-01 -1.620725623004685367e+00 1.299812238099485384e+01 -1.053025483843870461e+03 -6.019807585359881632e+06
1.029246947993758177e+01 6.245790147164060890e-01 1.989358807039949273e-01 9.143775696498474659e+00 2.519153354651103571e-01 -1.872450569970006917e+00 9.637789371844878161e+00 -1.825307002089917660e+03 -6.020579866878127679e+06
1.060817868398939190e+01 -4.411133905167854419e-01 6.839446615869415602e-01 1.054598069504686464e+01 8.318958333159402752e-02 -1.549806984244097796e+00 1.281710572949717886e+01 -1.204497861975803971e+03 -6.019959057738013566e+06
1.300598993867027175e+01 -1.113397750632686423e-01 7.646782911409122363e-02 1.293998468210526731e+01 3.420797221501672425e-01 -8.722249500799483801e-01 9.327441840141128537e+00 -7.370726178810000420e+02 -6.019491632493918762e+06
1.209625805244672314e+01 -5.320498094785797161e-01 4.167167621532896771e-01 1.231186559045924689e+01 1.296848404629251938e-01 -1.776206492804605297e+00 1.076489257328134741e+01 -1.693998612480238080e+03 -6.020448558488518000e+06
1.277435620277189265e+01 -6.880731567031632689e-01 5.866653687608871515e-01 9.667340716565647085e+00 2.491830711358487549e-01 -1.126046072354147665e+00 1.255412776016897958e+01 -9.439793412350118160e+02 -6.019698539217272773e+06
1.188159148928500031e+01 6.610549340813478558e-01 -3.473248167398409469e-01 1.211751798478566045e+01 2.720593535621746439e-01 -1.322300907401990022e+00 1.123708302772649326e+01 -9.462486242474988103e+02 -6.019700808500285260e+06
1.132933409840426719e+01 5.789232713347851611e-01 6.198403980588196305e-01 1.295568920012855862e+01 1.867437661318830378e-01 -1.440513777145228991e+00 1.313225688962424442e+01 -1.372143280511721969e+03 -6.020126703156549484e+06
1.108542747945715945e+01 1.838490022779883937e-01 5.608546683996724624e-01 1.239272508921886384e+01 1.461811744179682959e-01 -8.525756444194216854e-01 1.154635364440960821e+01 -1.025112457643263042e+03 -6.019779672333681025e+06
9.619778278632516333e+00 3.583304944249054991e-01 -5.075862500285843737e-01 1.264520573530448999e+01 1.872765219098246614e-01 -1.688951915104586643e+00 1.260391652281181862e+01 -1.309739809192717075e+03 -6.020064299685230479e+06
