# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
2.963123205224728052e-01 2.303908183589648342e-02 7.360026235845490428e-01 3.719814922586590633e+00 9.666480353391248004e-01 1.580171687831635197e-01 3.186530599617430681e+00 -3.289377183684354532e+05 -3.289529595516450936e+05
2.693554476189861657e-01 2.304154717794109838e-02 6.037713404209249513e-01 2.738044792374116909e+00 9.694821698281169686e-01 4.398531370451595812e+00 4.362704560483580352e+00 -1.021537479237613082e+08 -1.021537631649445146e+08
3.811384345744643354e-01 2.293767659255830163e-02 7.590770246779300345e-01 2.526966897967538817e+00 9.688252544621356321e-01 4.430211370870308585e+00 -3.976062857291386976e-01 -1.912675499624800286e+05 -1.912827911456896982e+05
3.439908731168829781e-01 2.248165967359609316e-02 7.229672234429854738e-01 3.879508330655365711e+00 9.707512955167917346e-01 4.316670844540219321e+00 2.830956529559228940e+00 -1.680043508733002841e+08 -1.680043661144835055e+08
3.636615825775065813e-01 2.315878039703804514e-02 7.545819003156922777e-01 2.939255626269791755e+00 9.661970121364681363e-01 3.397013144027551945e+00 4.389076079216113868e+00 -2.611259568676075459e+09 -2.611259583917258739e+09
2.828176788919770646e-01 2.219782868073230664e-02 5.507260456282142558e-01 1.867885655907099096e+00 9.719177085951273831e-01 4.832452289024738334e+00 9.113260538237808461e-01 -9.010217151138900954e+04 -9.011741269459867908e+04
3.199872715716667315e-01 2.228477452108986942e-02 6.587924615417889429e-01 3.564275332254349227e+00 9.656863779754618626e-01 3.461582551430795185e+00 2.986577062598581023e+00 -1.783953690826550871e+07 -1.783955214944871888e+07
2.598185923464775837e-01 2.328232820321182381e-02 6.254029687137712124e-01 3.932449380524031923e+00 9.748167375315532901e-01 1.287090054950884355e+00 3.468432268369497251e+00 -5.157284011298254482e+05 -5.157436423130350886e+05
2.706985104493038197e-01 2.239493160001049255e-02 5.404238486970071031e-01 2.515047176888002944e+00 9.702752919536877796e-01 1.867692739032420945e+00 4.539679668539392310e+00 -2.005996318052724004e+06 -2.006011559235933702e+06
2.671028929681869002e-01 2.279132975023081750e-02 6.439800087154763375e-01 2.099040294381130600e+00 9.661276444394903962e-01 -9.715009356791606265e-01 4.496523873567168650e+00 -1.330998732657351065e+05 -1.331151144489447761e+05
