# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
2.647401923451725425e-01 2.363711668592156229e-02 5.912812982972861509e-01 2.912291808923023861e+00 9.668245030228458381e-01 -6.492750501334634464e+04 -6.493436856540590088e+04
3.088228262570553717e-01 2.303963350490347006e-02 8.326458000989609420e-01 3.156639686487619390e+00 9.701128450894028754e-01 -2.758148784946271917e+05 -2.758217420466867625e+05
2.770550952076922258e-01 2.346960393685129653e-02 6.479598324972956069e-01 2.348397357521046835e+00 9.726167464921472439e-01 -6.530065263323659747e+04 -6.530751618529615371e+04
3.988770649058166473e-01 2.227109025788041527e-02 7.653621693575136664e-01 2.611789954184096541e+00 9.702313449630135533e-01 -1.237996625168983301e+05 -1.238065260689578863e+05
3.121334186024468105e-01 2.252652261806389888e-02 5.869406701350360356e-01 3.966235614704509693e+00 9.681906333613825577e-01 -4.684564257655437541e+04 -4.685250612861393165e+04
2.664852460509046228e-01 2.215911327325770924e-02 5.674986126892799243e-01 2.152938692696024336e+00 9.686567630723804667e-01 -8.647261800615025277e+04 -8.647948155820980901e+04
2.967265253225113142e-01 2.280219847503009781e-02 8.689887019445023952e-01 3.375997421391386144e+00 9.735841133455093166e-01 -6.838230250641950406e+05 -6.838298886162545532e+05
3.345513866789778246e-01 2.273641416064799484e-02 7.932515797736241492e-01 2.815106300973585718e+00 9.691395609377980724e-01 -7.323379388465042575e+04 -7.324065743670998199e+04
3.669405849940785003e-01 2.227637248497896238e-02 6.546822712861783966e-01 3.451348913744571867e+00 9.696010394740763871e-01 -2.205540054752737924e+05 -2.205608690273333632e+05
3.910858827394569359e-01 2.197353337925866956e-02 5.128280272007285090e-01 2.268608776489562828e+00 9.627510325567076865e-01 -6.624144173846302147e+04 -6.624830529052257771e+04
3.431975152018469366e-01 2.316345772178137613e-02 8.656435386744167904e-01 3.673593962342772912e+00 9.712518060228751970e-01 -3.616711507213052362e+06 -3.616718370765111875e+06
