# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.721129762585116407e-01 2.299332639494419683e-02 7.310467540223636318e-01 3.097050105159548927e+00 9.744509995431924754e-01 -2.406546922949466389e+05 -2.406616204108092643e+05
2.937536139093731014e-01 2.202571502361321334e-02 5.028523200809441596e-01 2.610500138566499650e+00 9.688904884083687774e-01 -8.007392193788359873e+04 -8.008085005374622415e+04
2.941420293770011241e-01 2.315401581434536893e-02 7.171109295938812300e-01 3.757838418988638018e+00 9.654590838992718194e-01 -2.517017330922431429e+05 -2.517086612081057683e+05
3.336734068984713031e-01 2.320177935073794093e-02 6.384071005841285285e-01 3.812798155776503606e+00 9.664206648929860588e-01 -2.207080067332578183e+05 -2.207149348491204437e+05
2.820558724636892944e-01 2.324487039097584626e-02 5.827325737360685709e-01 2.147942783954339241e+00 9.714702593779656059e-01 -7.912372457740298705e+04 -7.913065269326561247e+04
2.720932274961801456e-01 2.282093634481164798e-02 5.597867277409027675e-01 1.963242737935716686e+00 9.707772867054140775e-01 -8.515924714556233084e+04 -8.516617526142495626e+04
3.709309243222975727e-01 2.274288614870430617e-02 5.569714614684725396e-01 2.055464568675287929e+00 9.679943656740718216e-01 -6.479943621783375420e+04 -6.480636433369637962e+04
2.653874136472657019e-01 2.232330914219301729e-02 5.549366652868503724e-01 2.086967601956397189e+00 9.716442442807922131e-01 -8.494920312477526022e+04 -8.495613124063788564e+04
3.887450590456367205e-01 2.196825900663648690e-02 7.089173772188102074e-01 3.106832385360049908e+00 9.653160079799019133e-01 -2.657808268790839356e+05 -2.657877549949465320e+05
3.895434622168466587e-01 2.254302208949384573e-02 5.197116405916434312e-01 2.370339892719527164e+00 9.645601507035935773e-01 -5.827379654975332960e+04 -5.828072466561595502e+04
2.734251473648980357e-01 2.265612325250554102e-02 5.128259676157194136e-01 2.114611432119379852e+00 9.689675540785790409e-01 -8.713433096048881998e+04 -8.714125907635144540e+04
3.498461826591018342e-01 2.348208720966189419e-02 8.884674525654627786e-01 3.372766142330340777e+00 9.659594847198706979e-01 -2.131407117307870183e+06 -2.131414045423732605e+06
2.652746290890331538e-01 2.278875936344781569e-02 8.719237072305121572e-01 3.417669598489263549e+00 9.703064983376278319e-01 -3.160328385390122421e+05 -3.160397666548748384e+05
3.367067180690141992e-01 2.297558172471050528e-02 8.506397190233963013e-01 3.198812831968087522e+00 9.651246982018483189e-01 -7.378891087757011410e+05 -7.378960368915637955e+05
3.176303003840092454e-01 2.259695349223389202e-02 5.708718023950508647e-01 2.583980459133905061e+00 9.760550965388137268e-01 -5.689265583061751386e+04 -5.689958394648013928e+04
2.855877745691620673e-01 2.273626281169589813e-02 5.696676267478879563e-01 1.936173745360920240e+00 9.735570223515442878e-01 -8.280574940171484195e+04 -8.281267751757746737e+04
2.848943031723809027e-01 2.300099818249461830e-02 5.415336679726743263e-01 2.375486331976317977e+00 9.683017725210277815e-01 -8.046557163948853849e+04 -8.047249975535116391e+04
2.766628133200447204e-01 2.303178815373509505e-02 6.245851031038007761e-01 2.289515445405017946e+00 9.605125980584166001e-01 -7.009185975344789040e+04 -7.009878786931051582e+04
3.281407809685990551e-01 2.245221345745830252e-02 5.387268782232349507e-01 1.885541720126409970e+00 9.678680254604667965e-01 -8.088894012346293312e+04 -8.089586823932555853e+04
2.936155899871267239e-01 2.303584968219927337e-02 5.967934379827044555e-01 2.003149008194908376e+00 9.713153047741116541e-01 -7.727661910974020429e+04 -7.728354722560282971e+04
3.209773029844187331e-01 2.292191254897362265e-02 8.018525235610225455e-01 2.863642892890349678e+00 9.729194679130670487e-01 -6.454700878658933652e+04 -6.455393690245196194e+04
3.654553062932777152e-01 2.260152091450755990e-02 7.873020985990393239e-01 3.684819548219713248e+00 9.776069169270910075e-01 -2.680544754706235137e+06 -2.680551682822097559e+06
2.970853179588552329e-01 2.285077802964103136e-02 6.573312797018239229e-01 3.849690789490491483e+00 9.734491859867440144e-01 -1.172243229731698084e+05 -1.172312510890324338e+05
3.867351619685220343e-01 2.287950938355547137e-02 7.991361631301663326e-01 2.600075015978652981e+00 9.764312412261987317e-01 -1.461702203504621866e+05 -1.461771484663248120e+05
2.503428476691971216e-01 2.257387470522101425e-02 5.443194239932560574e-01 1.746792826163459544e+00 9.646321415006104960e-01 -8.895081344704526418e+04 -8.895774156290788960e+04
3.950607642872605019e-01 2.296285282323024673e-02 7.300904639426971654e-01 3.146036037463802337e+00 9.682550808222215588e-01 -4.617890133047848358e+05 -4.617959414206474321e+05
3.411054449740894556e-01 2.295480104575613883e-02 8.818181098896960002e-01 2.597731184682892103e+00 9.734846851746926655e-01 -1.481581004940592684e+05 -1.481650286099218938e+05
3.530304676915928530e-01 2.293688759461456894e-02 5.761798504313333513e-01 3.898639739605380683e+00 9.718266463400636601e-01 -1.228085716950473579e+05 -1.228154998109099834e+05
3.811667179005413519e-01 2.307805490201808238e-02 7.827505530398837230e-01 3.656230007405950833e+00 9.663613413297366117e-01 -2.893576393391565885e+06 -2.893583321507428307e+06
2.520049476162608548e-01 2.319817552772085456e-02 7.018881697576041523e-01 2.211676152493061487e+00 9.655774563470913563e-01 -6.550489339776876295e+04 -6.551182151363138837e+04
3.290423355229880054e-01 2.279947593101676329e-02 7.974709054483813953e-01 3.946048930649430631e+00 9.657103654018908134e-01 -2.997176344476746861e+06 -2.997183272592609283e+06
2.536537156319191855e-01 2.276063413044602732e-02 5.298953477042428473e-01 2.258421414307741681e+00 9.769269593799312368e-01 -8.684743012188599096e+04 -8.685435823774861638e+04
3.138546074500637162e-01 2.329572161205645947e-02 8.641712237301339972e-01 3.478316443563943317e+00 9.754138836742967111e-01 -1.220154887200436555e+06 -1.220161815316299209e+06
3.812126970320847685e-01 2.165013654132342397e-02 5.960094818833548969e-01 1.742422561809798376e+00 9.793057328108207837e-01 -6.135623379403953732e+04 -6.136316190990216273e+04
3.523960641240863612e-01 2.252160705073115096e-02 7.775096834299919379e-01 3.514665562119403397e+00 9.712833895873889123e-01 -1.207037622703932459e+06 -1.207044550819795113e+06
3.212652569837920469e-01 2.320746095286960187e-02 5.282287848266111752e-01 2.475324820475011567e+00 9.741111726694854367e-01 -7.291150039289020060e+04 -7.291842850875282602e+04
3.342249213841562150e-01 2.229909941481002245e-02 7.170959484671624029e-01 3.270154436359058003e+00 9.739317262423720090e-01 -1.372520016917359317e+05 -1.372589298075985571e+05
2.504882110517392957e-01 2.309920844271931561e-02 6.256151244171862524e-01 2.457378336427083365e+00 9.721156153359775676e-01 -7.338165651907525898e+04 -7.338858463493788440e+04
3.725760304112306076e-01 2.227990286451235827e-02 8.428090591824914934e-01 2.673846773953724831e+00 9.705026938616730936e-01 -2.667632874816515250e+05 -2.667702155975141213e+05
2.837741562371771109e-01 2.282016625483394498e-02 6.319263014459510774e-01 2.441128631161683327e+00 9.660687326119523632e-01 -5.956319834345674462e+04 -5.957012645931937004e+04
3.749920501638612236e-01 2.169665986499433319e-02 5.088342030987516029e-01 2.546015827399216391e+00 9.724877435701273498e-01 -5.754263255362163181e+04 -5.754956066948425723e+04
3.468397697926324241e-01 2.204993360433346594e-02 7.746884939317270069e-01 3.548170680605086780e+00 9.692828287711908741e-01 -1.181173230538567994e+06 -1.181180158654430648e+06
3.896222046470564360e-01 2.240280146753304349e-02 8.766292397683905779e-01 3.660061890442265486e+00 9.671212466499343741e-01 -7.039660420181052759e+06 -7.039667348296915181e+06
2.512858951311626732e-01 2.248848833466587580e-02 5.183229431444941193e-01 2.821974707477651112e+00 9.722174230590477917e-01 -8.299094747487263521e+04 -8.299787559073526063e+04
3.241315938040216227e-01 2.298130851297764191e-02 8.458021999327469675e-01 3.330839332167370159e+00 9.743975771962876120e-01 -8.283879365239986219e+05 -8.283948646398612764e+05
3.599666403885087296e-01 2.287864339552269158e-02 6.538880565919092946e-01 3.542369821135726404e+00 9.668858413618658387e-01 -2.320197096083851939e+05 -2.320266377242478193e+05
3.165732038554774919e-01 2.258968688623563120e-02 8.313056944034300511e-01 3.270305717819384395e+00 9.701977352406387922e-01 -4.909769461255735951e+05 -4.909838742414361914e+05
