# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.840786081185326717e-01 2.166188974461025901e-02 8.424221897090766742e-01 2.462418560571892456e+00 9.719413796429842156e-01 -9.538790308458628715e+04 -9.539390832756759482e+04
3.514568059733528815e-01 2.300223005233686252e-02 7.990760594024125529e-01 2.782191761928449747e+00 9.722424502477743369e-01 -7.064987976598142995e+04 -7.065588500896273763e+04
3.971886521738904330e-01 2.342107255971401930e-02 5.363753601253214986e-01 2.242497326302445693e+00 9.658752553876647218e-01 -3.415052209991345444e+04 -3.415652734289475484e+04
2.650192769224727352e-01 2.364758189391018978e-02 5.408964144494360360e-01 2.298510338378991325e+00 9.704739516928767573e-01 -5.095047274100530194e+04 -5.095647798398660234e+04
2.658304445642640790e-01 2.383130151685766349e-02 5.660180518244629644e-01 1.914505703600943631e+00 9.759345588382840608e-01 -5.168006037895948975e+04 -5.168606562194079015e+04
3.565502695968131852e-01 2.251802816714279162e-02 7.717613974272679034e-01 2.815001380976516643e+00 9.637045205406762349e-01 -5.723263663763309887e+04 -5.723864188061439927e+04
3.570482373710002766e-01 2.282484978043665055e-02 7.219222102854683243e-01 3.644465779740906353e+00 9.744219260217110712e-01 -5.868007452020286582e+05 -5.868067504450099077e+05
2.959067117090691257e-01 2.275275195807927378e-02 8.200532841456755762e-01 3.013262681190992609e+00 9.656122971449706549e-01 -4.331870436381307809e+04 -4.332470960679437849e+04
3.797725324241106870e-01 2.312172151165699935e-02 8.885396879285214489e-01 2.678968481657182821e+00 9.728818476728116060e-01 -3.111567310941905016e+05 -3.111627363371718093e+05
3.646350394244632920e-01 2.329603045637508238e-02 8.225117277244238245e-01 3.374576491351785279e+00 9.703988914768244545e-01 -9.340682871864511399e+05 -9.340742924294323893e+05
3.384620337030890269e-01 2.253257545918547697e-02 7.131593342946083158e-01 3.806306741816355199e+00 9.675240500412312095e-01 -5.792277653055706760e+05 -5.792337705485519255e+05
