# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
3.215098011791690524e-01 7.268409830731997756e-01 3.526120918830490059e+00 -4.500081667283561515e+00 5.402001135160814371e-01 -2.582907697959793136e+00 -2.610856096526266157e-01 1.521644689259481709e+00 -6.488621475162195414e+07 -6.488623706725799292e+07
2.626482061249605926e-01 6.063451435621697305e-01 2.645682116061696565e+00 -2.054154296804613367e+00 4.309671982355281372e+00 -1.753824390731095750e+00 -4.714433785469375415e+00 1.602910157783513645e+00 -3.799827534410373308e+06 -3.799849850046409294e+06
3.979335093374348764e-01 7.468514729295397947e-01 2.520415166595377343e+00 -3.522833416732937817e+00 -2.509710819851377117e+00 3.640818010762249202e+00 2.522935897326561872e+00 1.639669118125622660e+00 -5.534507403335445374e+07 -5.534509634899049252e+07
3.591666045838433075e-01 8.257073861936639059e-01 1.727144582479922530e+00 4.011024244385017923e+00 4.932401023720355937e+00 -3.611145054890876338e-01 -4.809850559632305789e+00 6.058438440528008950e-01 -7.440921864233548164e+09 -7.440921886549184799e+09
3.841177521301659126e-01 8.781305335317832750e-01 2.489382704713810401e+00 -1.847461067744333718e-01 -1.040037495632590847e+00 1.022011582232522642e+00 3.448921220830825973e+00 6.327554664338741475e-02 -3.013213310576876625e+07 -3.013215542140480131e+07
3.824722076529874504e-01 7.227662504169638513e-01 3.770250948666024726e+00 -8.731532495508371738e-01 3.254354504361948841e+00 -9.768685485108674627e-01 1.914957166414667178e+00 1.581784077892211648e+00 -1.920903802446370125e+08 -1.920904025602730513e+08
3.453585384458854324e-01 8.978821292757411809e-01 2.721832427277217636e+00 3.568703305777493284e+00 -4.373993971579065665e+00 -4.993212320846626362e+00 -1.204023720926818974e+00 2.804700587955506474e-01 -4.985313033990688622e+06 -4.985335349626724608e+06
3.960909495146800463e-01 8.113224805029344289e-01 3.666336531815868049e+00 2.061192365572715346e+00 -1.294453392703520667e+00 -3.034535107300114554e+00 1.140020208830860859e+00 1.104868625564658036e+00 -4.994984764966779351e+08 -4.994984988123139739e+08
2.990531110030865136e-01 7.472630553660335462e-01 2.162741901830380176e+00 -3.834246895238316633e+00 2.690393014872148214e+00 -4.619027216483527098e+00 4.304904146507093188e+00 7.576487203881800969e-01 -3.987292828341396451e+08 -3.987293051497756839e+08
3.918336961623741788e-01 8.380584394613947996e-01 2.288200802994677652e+00 8.907999605922451991e-01 4.097165095719748962e+00 2.133713896697884138e-01 -4.331969606742641865e+00 1.001756705090472321e+00 -1.585429172066785395e+07 -1.585431403630389087e+07
