# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
2.664509126010604634e-01 6.273120915983623203e-01 2.143627109855236412e+00 -4.959311510816410085e+00 3.180480016435282664e+00 2.967376636909001775e+00 3.746330572224533029e+00 6.947878741886674980e-01 -1.116648407473446103e+06 -1.116674510207613232e+06
3.781286795940788648e-01 7.444335085412425723e-01 3.740651737697074708e+00 -3.995865007919310319e+00 -5.852578704706861146e-01 -1.550762831420642307e+00 4.522249669497568902e-01 2.160554301870936111e-01 -6.633476405180059373e+07 -6.633479015453476459e+07
3.853901281317110850e-01 8.736891587992035024e-01 2.962582295122335729e+00 2.440869579338019513e+00 4.414756044266136215e+00 4.855564320334019968e+00 4.120579969552078836e+00 2.678527851739265220e-01 -1.616321427405956299e+12 -1.616321427432059082e+12
3.385754292499909002e-01 7.846069379842937064e-01 3.237657804170580356e+00 -2.525320090660492234e+00 -4.803783214456166739e+00 4.913596324018516981e+00 -1.060416496153545829e+00 1.958311411321969508e+00 -6.040091207676670514e+06 -6.040117310410837643e+06
3.341760685360301575e-01 7.607215247177547823e-01 3.723395351414329646e+00 3.720671582715123549e+00 -4.824867757632262943e+00 3.935275039257790652e+00 -4.474734115499510168e-01 1.175469973047608363e+00 -2.070246640702125058e+07 -2.070249250975541770e+07
3.266550633314502794e-01 7.244975777131886785e-01 2.068553371366549154e+00 3.941383669458570438e+00 -4.275251125023201482e+00 -4.507720560546962574e+00 2.741445084591854986e+00 5.214909268431671130e-01 -1.710456804171399446e+06 -1.710482906905566575e+06
3.567202456389684251e-01 8.805900557412731366e-01 2.335770086036499382e+00 -3.226742876117633330e+00 -5.758701378487156575e-01 -1.021131131554753324e-01 1.172701421049531234e-01 1.106955562000183413e+00 -2.808340794462503865e+06 -2.808366897196670994e+06
3.108556590427858923e-01 5.628984359213506927e-01 3.609251493679764167e+00 -4.564830970073816552e+00 7.912819357315283852e-01 -4.689298410545184481e+00 -3.418093864892336242e+00 1.751884169988512596e+00 -2.050921836412627948e+06 -2.050947939146795077e+06
3.097333213742461955e-01 8.457388209061138529e-01 3.801875737194207794e+00 2.097658241498553622e+00 -2.585833327825159955e-02 -3.524032661972865910e+00 1.828584932541232888e-01 1.329967911416241044e-01 -4.317743645345875621e+07 -4.317746255619292706e+07
2.522661654374227513e-01 8.997629338156671874e-01 3.466975305117514061e+00 1.870969681640886506e+00 3.756675283214233829e+00 4.770976178371032717e+00 -3.691036042182838983e+00 1.188187993201477166e-01 -2.717182252325459197e+07 -2.717184862598875910e+07
