# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: 1.0
#            #       - eta2_IA: 0.0
#            #       - b1_IA: 1.0
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA        log_w   log_l
3.203156376019222762e-01 8.214666236938827915e-01 2.893432186481499357e+00 -7.873769946124085095e-01 -1.798576094346731935e+00 -1.781123220907135110e+05 -1.784696983377577562e+05
2.931902398220613826e-01 5.044192696779776774e-01 1.912969159670588448e+00 -4.532953605457654689e+00 3.297811734685364371e+00 -2.508286424898622208e+05 -2.511860187369064661e+05
3.416828254091248129e-01 8.937631273853290370e-01 3.032905812514595567e+00 1.316979650216898889e+00 1.849110887195023700e+00 -8.048032483277174179e+05 -8.051606245747616049e+05
2.899666166932464706e-01 6.403730102379772138e-01 2.052035717699792539e+00 -2.252227088983259407e+00 4.620951309871895063e+00 -1.096469439128724858e+07 -1.096505176753429323e+07
3.940914773957386874e-01 7.752592968395135564e-01 3.053580112581922634e+00 -2.882528566946826132e+00 2.819494859477139848e+00 -2.534906653896044195e+07 -2.534942391520748660e+07
2.812438717492817819e-01 8.450911117368620218e-01 3.903031634148255158e+00 -1.056547101534117683e+00 2.064729569459986536e-01 -2.533224394197089132e+06 -2.533581770444133319e+06
3.711638011786523861e-01 5.674133950760823497e-01 3.706908018322667253e+00 -4.929749270428317232e+00 -2.270958403405502146e+00 -4.200318384025569540e+05 -4.203892146496011992e+05
3.361308705217065929e-01 7.969808382848690975e-01 3.724130128511675686e+00 -6.420891009653715287e-01 4.337142770953313686e+00 -2.208154540030945465e+07 -2.208190277655649930e+07
3.949979459558444761e-01 8.425726305551080042e-01 2.685541745276567749e+00 4.551620213906083734e+00 9.963536487630211269e-01 -2.603655369282815140e+06 -2.604012745529859327e+06
2.686628011131390603e-01 7.172521833555636217e-01 1.849752191848066385e+00 3.630108414203222722e+00 2.569548915906406883e+00 -1.011440311960248073e+05 -1.015014074430690525e+05
3.003903747315391226e-01 8.254057279770348199e-01 3.960344607927492433e+00 4.423875624962635200e+00 -9.288161220753075042e-01 -2.798885108947969507e+06 -2.799242485195013694e+06
3.593774485442527422e-01 8.002195662686298894e-01 3.945621839349771953e+00 -4.670498152343096621e+00 3.091427346791663311e+00 -1.233974148960232019e+09 -1.233974506336479187e+09
3.017429976771260347e-01 5.378036824164038610e-01 2.900451361373937775e+00 -3.531306907779139248e+00 4.603523325219398998e+00 -1.567586174543961883e+08 -1.567589748306432366e+08
2.898380126306170923e-01 8.681695611190531903e-01 3.671866876194807894e+00 1.155734310337672710e-01 -2.125106019694169568e+00 -1.551722690853597131e+06 -1.552080067100641550e+06
3.496576227974828033e-01 7.598696341295131385e-01 3.443044983602280507e+00 -1.492948706143319981e-01 -4.549109614454021511e+00 -9.137798910787171917e+05 -9.141372673257613787e+05
3.436583285193923754e-01 8.703032507710803944e-01 3.819320625432665040e+00 -3.700352377748297172e-01 2.462543798362806236e+00 -7.788109031917151995e+06 -7.788466408164195716e+06
3.076624552017887537e-01 6.655652735340171766e-01 2.592316404223716120e+00 -2.896189365298006635e+00 4.310206834512189999e+00 -5.855781431710564345e+07 -5.855817169335268438e+07
2.888700875356593478e-01 8.956076242920739672e-01 2.549992942766377446e+00 -1.870384812750399917e+00 2.369478677151080070e+00 -3.169883839221313829e+05 -3.173457601691756281e+05
3.870103370534088150e-01 8.895673308867624307e-01 3.609559462940008956e+00 -1.774140751097727176e+00 9.187217440586898931e-01 -1.536484354378136992e+07 -1.536520092002841458e+07
2.856942086879156739e-01 6.281494696388902899e-01 3.843670707583798141e+00 -3.888134533086631262e+00 4.380529264853267435e+00 -1.352600051537544250e+09 -1.352600408913791418e+09
3.874969953569450953e-01 8.783737412033619796e-01 2.846012951706922589e+00 4.796316236589950321e+00 -3.867549344733340888e+00 -9.785044591656198027e+05 -9.788618354126639897e+05
3.364069839061550327e-01 7.635187512765488904e-01 2.186586725474306103e+00 -2.524173649060333702e+00 3.360622549983062868e+00 -2.243853846780159045e+06 -2.244211223027203232e+06
2.856813249824114997e-01 8.279945837432176603e-01 2.074110176762409719e+00 -4.546866489481446116e+00 4.690283172153257851e+00 -1.204629762168819904e+09 -1.204630119545067072e+09
3.798383417802179141e-01 7.491707315918033627e-01 3.784353491762438182e+00 -3.940773445707038469e+00 -1.679450575620264896e+00 -6.989921251372762956e+06 -6.990278627619806677e+06
3.567218481609223946e-01 7.252186636826049027e-01 3.489649751882867967e+00 -4.955160099133022911e+00 -2.548269545889378929e+00 -1.779620045041687321e+06 -1.779977421288731741e+06
3.537913271521392899e-01 7.034119376380121302e-01 3.775356650492300403e+00 1.564504939451882848e+00 -3.552281489765534150e+00 -1.166961878052607179e+06 -1.167319254299651599e+06
3.624331347796129199e-01 8.975990786732174209e-01 2.549556731084845929e+00 3.412677436446152512e+00 3.677586483963199981e+00 -2.329809736002115309e+08 -2.329813309764585793e+08
3.731782333013823338e-01 5.908293162359079531e-01 3.898205435683774311e+00 -3.559769069229670180e+00 -9.044546059816136463e-01 -1.262679417199902236e+06 -1.263036793446946656e+06
3.020193300273426029e-01 8.145665103281780617e-01 3.545117915824275379e+00 4.398438253051789815e+00 2.886806358059647692e+00 -7.534949446326445043e+07 -7.534985183951149881e+07
2.774625695370608325e-01 8.508523760257713509e-01 2.560271731675155316e+00 3.929205355450964277e+00 1.435024669229930439e+00 -1.848344236732620338e+05 -1.851917999203062791e+05
3.099125379517637113e-01 5.936862465474682660e-01 2.668107215649710984e+00 -9.230364198835436795e-01 4.352310157453961992e+00 -3.167176553909095819e+05 -3.170750316379538272e+05
3.792820830479188832e-01 7.698538358073698795e-01 2.805762808769578065e+00 -4.861232841559329998e+00 6.942753963096155445e-01 -2.757049466597260907e+06 -2.757406842844305094e+06
2.959229346003762751e-01 8.507607373866561407e-01 2.330436883274971560e+00 -4.199126486972913241e+00 2.628499270105288943e-01 -1.288578141957202024e+05 -1.292151904427644477e+05
3.784713588293791564e-01 6.922193994137351147e-01 2.384958565177690559e+00 2.437218824796568484e+00 2.893355472683124319e+00 -1.050795002958008321e+06 -1.051152379205052741e+06
2.647173330242668099e-01 8.731457340930883770e-01 3.042341994997238785e+00 -7.897702932188472857e-01 -2.123903784315563925e-01 -1.193163331807121867e+05 -1.196737094277564320e+05
3.560424016266542924e-01 7.324035021650221466e-01 2.978769022369554875e+00 4.508804112116274965e+00 2.086812119047682046e+00 -5.762210968257125467e+06 -5.762568344504169188e+06
3.323327270221393404e-01 7.833255719333724887e-01 3.057779027790928250e+00 7.258534106964393828e-01 -2.282865374974600847e+00 -2.037207242154497944e+05 -2.040781004624940397e+05
3.399106260581937766e-01 6.973393201724935597e-01 2.930684092141036423e+00 3.078238206395774057e+00 4.257992594473641645e+00 -3.706006974682654738e+08 -3.706010548445125222e+08
3.084052908445713004e-01 7.347506684151304812e-01 2.810956736781834220e+00 1.457633383075775946e+00 3.260991423010754175e+00 -3.549551200384452823e+05 -3.553124962854895275e+05
