# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
2.812784340932186211e-01 2.236016506587556324e-02 5.724346794816659312e-01 3.851047676664397734e+00 9.688243519483512589e-01 1.959614612501320075e+00 3.015275291000511615e+00 -5.986044231396660907e+05 -5.986194970153783215e+05
3.788855903961088067e-01 2.254944750930955658e-02 8.175043609729241156e-01 3.909204631073458280e+00 9.701906967145212946e-01 2.969879935426390283e+00 -9.909198721933734078e-01 -7.172770024818471633e+06 -7.172785098694183864e+06
2.523113574556289374e-01 2.291900846557622107e-02 8.531949224722994440e-01 3.415253259268290265e+00 9.737912528438539272e-01 3.057193383034578105e+00 9.036696198231553012e-01 -3.326764909434916335e+05 -3.326915648192039225e+05
3.906090175507591078e-01 2.296123961690857765e-02 8.540846535064994249e-01 3.991083809026737761e+00 9.610257578782792631e-01 4.459010043731719719e+00 2.135568359676751626e+00 -2.628885722849653363e+08 -2.628885873588410318e+08
3.663468154822213663e-01 2.311294328447872568e-02 7.123530692589761237e-01 3.097084057520149258e+00 9.668307985550321781e-01 3.690895684963196643e+00 -1.487708708992481199e+00 -1.954171617613425769e+05 -1.954322356370548368e+05
3.920156268495379459e-01 2.231942999748957879e-02 7.253525556151222409e-01 3.653363444909013324e+00 9.700732151554493088e-01 1.636702892532966302e+00 -3.486184891333397040e+00 -1.995705325315327849e+06 -1.995720399191040080e+06
3.743580720811344187e-01 2.293495505695646031e-02 7.281966234262536863e-01 2.001351848560487312e+00 9.667037751860689809e-01 4.897640434496484119e+00 7.990900987866931260e-01 -1.677230302842163073e+05 -1.677381041599285672e+05
3.977475906325526056e-01 2.315797797937031027e-02 8.388069568957878808e-01 2.368355172117405871e+00 9.742509268732068017e-01 2.459760002601663054e+00 1.121194603642782894e+00 -3.183187721911307890e+05 -3.183338460668430780e+05
2.792144782938680847e-01 2.283012397420873876e-02 5.427187032601862304e-01 3.076945706493577681e+00 9.680295867263548626e-01 4.878919179452971377e+00 3.192973289476233489e+00 -3.871511808504270855e+06 -3.871526882379983086e+06
3.300830111530726474e-01 2.193793083276108710e-02 8.834639866242346429e-01 3.199078534336479152e+00 9.704312226110657358e-01 4.743117167580445326e+00 3.063554576217569547e+00 -2.544004644193068743e+08 -2.544004794931825697e+08
2.629420249462004477e-01 2.294843374698497460e-02 7.231532867257014496e-01 3.816816715973270213e+00 9.739535960305846229e-01 -7.045087518903769830e-01 -3.693626073641860241e+00 -1.294831210409330379e+05 -1.294981949166452832e+05
3.392659568436533490e-01 2.286955754470502283e-02 7.186522543135415164e-01 2.044087946617023199e+00 9.724690541123396370e-01 3.298930997430923995e+00 4.483597974584805357e+00 -2.202868864770962298e+08 -2.202869015509719253e+08
2.675345546785891648e-01 2.318684613914392262e-02 5.182083520282838585e-01 3.137215268528016576e+00 9.728340928066634419e-01 4.290570592170384057e-01 4.771105183373908432e+00 -8.496891251749145158e+04 -8.498398639320369693e+04
3.498276122880346062e-01 2.279420844549085931e-02 8.049077797041297444e-01 2.534676733576107566e+00 9.672640717273428557e-01 7.519231596263948880e-01 3.203699246057222894e+00 -1.101841939355274662e+05 -1.101992678112397116e+05
