# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
3.927986610498760967e-01 2.218873869059323836e-02 8.122982758047153640e-01 2.372295739823715444e+00 9.693739362273193771e-01 4.080408495013310599e+00 -2.686110907776939616e+00 -6.305746465025742509e+04 -6.307119845310589881e+04
3.353688801985910128e-01 2.334437363637397247e-02 7.847183817585825505e-01 3.430172184937263058e+00 9.692754563425530767e-01 6.241546254005851946e-01 -2.262985906595744723e-01 -4.031306261773914448e+05 -4.031443599802399403e+05
2.647916983213070563e-01 2.290064307820969050e-02 7.185465930709131754e-01 3.906619444728890223e+00 9.614123177876894299e-01 4.071578710625066932e+00 3.332566165689099691e+00 -4.746819838714251667e+07 -4.746821212094536424e+07
2.674744289997283420e-01 2.313891009626984144e-02 6.261345225392070946e-01 2.979785215927497344e+00 9.710378076849590645e-01 1.508399895094800769e+00 3.423429769133640832e+00 -8.542230267323023872e+04 -8.543603647607870516e+04
3.658024350095754329e-01 2.294255463568087641e-02 8.147947458749958960e-01 3.934275480385270640e+00 9.648979257783601993e-01 7.339944964712907804e-02 -2.952324871285112451e+00 -3.804368575095144566e+06 -3.804382308897993062e+06
3.494854969638490072e-01 2.308430120264325786e-02 7.196039623953904840e-01 3.825540317645382160e+00 9.701640519482959135e-01 4.196681251859722295e+00 1.249781836399090906e-01 -1.635457887426694157e+06 -1.635471621229542652e+06
3.726063441948428423e-01 2.248269722733740525e-02 7.638538154151974791e-01 3.097074354249344630e+00 9.690165471613526593e-01 1.151718662864588794e+00 1.755723619074837316e+00 -2.522581870603307616e+05 -2.522719208631792280e+05
2.614102091229152380e-01 2.233998220856301883e-02 7.364878487339997504e-01 3.671407584098602683e+00 9.692909712596791127e-01 4.389550772389322120e+00 8.379531267840789610e-01 -3.404111425615092739e+05 -3.404248763643577695e+05
3.502422246097039449e-01 2.346784339332790362e-02 7.175426232282210437e-01 2.844328845716587395e+00 9.708038903253833896e-01 3.614673664347026083e+00 2.925573105187613265e+00 -6.908278557177634910e+06 -6.908292290980483405e+06
3.131256954101298562e-01 2.279908587323392979e-02 5.359852620843800208e-01 3.054938823102383960e+00 9.673352136365640508e-01 4.346557502754879287e+00 3.307387287774211870e+00 -4.334033441075920127e+06 -4.334047174878768623e+06
