# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
2.718214417973444652e-01 2.259502084109979436e-02 8.621422399025698846e-01 2.664874580504948298e+00 9.675376897547869337e-01 4.920965696511087728e+00 2.338147519954065778e+00 -5.639398251469396055e+05 -5.568456261341035366e+06
3.480597156224236599e-01 2.232551203700395420e-02 8.839245160421038694e-01 2.365320114456234357e+00 9.722477263781227341e-01 -4.343985344324829967e-02 4.596451689211157543e+00 -5.774062655250541866e+04 -5.062257062746601179e+06
2.796537170558253127e-01 2.234526152677730401e-02 8.394110192473973608e-01 3.760451548116804155e+00 9.827682219703932631e-01 4.644955354863437691e+00 -2.603566102896144319e+00 -3.404286340197958052e+05 -5.344945070213891566e+06
3.974069328352061170e-01 2.257723162295132563e-02 8.046497140737305376e-01 1.852656655255371598e+00 9.688412319466547240e-01 3.919328208165305583e+00 1.157566425281777001e+00 -1.449586665720632300e+05 -5.149475102766158991e+06
2.801294679133061183e-01 2.241617740031779174e-02 5.764783613936448337e-01 2.608785304724006160e+00 9.646187319314719621e-01 -5.523912383423719152e-01 -1.868304302834946640e-01 -1.566649911556262523e+05 -5.161181427349722013e+06
3.256019059829134976e-01 2.315272165797197315e-02 7.970698197622361203e-01 1.728095771104409595e+00 9.688363792523668749e-01 1.433097340851134049e+00 4.329859221756604981e+00 -3.910505745175145566e+05 -5.395567010711610317e+06
2.971775334822245318e-01 2.237836148861093929e-02 8.440007556207782535e-01 1.734783898119153456e+00 9.702691988741484197e-01 1.340767642821924177e+00 4.022105359804360347e+00 -1.577881816338086501e+05 -5.162304617827904411e+06
3.974808052436786809e-01 2.221514488800551204e-02 8.939060197974157962e-01 2.580882908317910562e+00 9.658069532743290830e-01 1.125147051514720165e+00 2.363044810069009571e+00 -2.981178445382174104e+05 -5.302634280732313171e+06
2.653746756137426721e-01 2.204962809117769901e-02 7.929165700171765252e-01 1.720285374261790956e+00 9.736772372089642635e-01 3.101887404161264961e+00 -5.785539552110545714e-01 -1.466410176699757576e+05 -5.151157453864071518e+06
2.948077221025839911e-01 2.233013983876423053e-02 8.621055440075369170e-01 2.061575563967310565e+00 9.689301763301834125e-01 2.551659958108612791e+00 4.750503135061967086e+00 -2.671823641644725576e+06 -7.676340077838821337e+06
3.960165153927165393e-01 2.262990255364998385e-02 5.232439072012541326e-01 2.741533980701771789e+00 9.676287847565532285e-01 1.593962367191283924e+00 4.091733401343388365e+00 -3.992425396857857704e+05 -5.403758975879881531e+06
3.005270479276251905e-01 2.274783620464097128e-02 7.087770951789484908e-01 3.895555397016778443e+00 9.693558882883279715e-01 7.837094127551100797e-01 -3.875978539733916151e+00 -1.918597814040891826e+05 -5.196376217598184943e+06
3.356736261201129778e-01 2.249863951785366009e-02 7.781225964300420017e-01 3.096675376616883746e+00 9.732325797439986825e-01 2.858572994345227603e+00 2.395429432642096401e+00 -6.663378893775781617e+05 -5.670854325571673922e+06
3.035309608855683572e-01 2.285707843637788811e-02 7.932478120075907579e-01 3.472059209890746789e+00 9.701298202344849075e-01 -7.126149850294782873e-01 1.458546231892102973e+00 -2.223698118566703051e+05 -5.226886248050766066e+06
3.743580922786815535e-01 2.241842273244021300e-02 8.318612850395139535e-01 3.551303158989613795e+00 9.720302685100603579e-01 -1.561826477760439591e-01 4.403837769700359672e+00 -7.354292164544705302e+05 -5.739945652648566291e+06
2.867830807397571680e-01 2.194160379007070380e-02 6.018550597293609306e-01 3.130300555547945507e+00 9.685989729295222395e-01 3.016551589528617683e+00 2.749346517942523604e+00 -1.403822735796524212e+05 -5.144898709773748182e+06
3.866250822535804987e-01 2.265207962773482450e-02 8.446238444820541869e-01 3.924395272400047041e+00 9.754369854834482600e-01 5.379161337912774510e-01 2.755899764418843212e+00 -1.104415861084722914e+06 -6.108932297278818674e+06
3.859250400011460247e-01 2.285660177061788964e-02 7.318707301098243967e-01 2.992058052517677424e+00 9.735789709561345484e-01 4.146802149002174254e+00 2.415875437460007547e+00 -1.583728964495682158e+06 -6.588245400689777918e+06
3.556732893741402224e-01 2.264333733020077941e-02 5.307070822090722562e-01 2.264425852660453486e+00 9.643394903745663438e-01 9.536130401859697070e-01 -2.985469960003728218e+00 -1.600646110993567854e+05 -5.164581047293452546e+06
3.347920136975708894e-01 2.297665601768696109e-02 7.561300704308206999e-01 1.798829447232280998e+00 9.750049637912241440e-01 3.022985620212155666e+00 2.704505940660874685e+00 -1.384637389874272048e+05 -5.142980175181522965e+06
3.911988637957970472e-01 2.182941047364012413e-02 8.943676457490971066e-01 2.400041639387049841e+00 9.686559749432483990e-01 3.795571711205310450e+00 1.453312809391928973e+00 -5.873704017118345946e+05 -5.591886837905930355e+06
3.907454643773324299e-01 2.220199619375171074e-02 7.119276953956644727e-01 3.476194982973730863e+00 9.662102238006714527e-01 3.638425629627278113e+00 1.105129448297715200e+00 -7.497929071304975078e+05 -5.754309343324593268e+06
3.804520586468083110e-01 2.230541075417982397e-02 8.436838912080797392e-01 1.722580963256807873e+00 9.672429897220068407e-01 1.736890426322430514e+00 3.664147056053863594e+00 -4.722138665105924010e+05 -5.476730302704688162e+06
3.528783646461931545e-01 2.295896092699547392e-02 8.850595612616967145e-01 3.520743992569430159e+00 9.711563139209977713e-01 4.560075331249379360e+00 -1.669330990679913640e-01 -9.062328580484520644e+05 -5.910749294242547825e+06
2.838790489570530706e-01 2.296670877123826310e-02 6.858254876195244432e-01 2.786583222129804582e+00 9.664347530257005880e-01 3.012311975554212928e+00 3.284516269553192203e+00 -3.023222924090642482e+05 -5.306838728603160009e+06
3.857439241036124122e-01 2.257982613010913256e-02 5.759478910482217495e-01 3.811502040718355744e+00 9.715227847255176741e-01 4.569059211307631152e+00 9.496203359648234255e-01 -5.177664420367665589e+05 -5.522282878230862319e+06
3.104992416038517278e-01 2.305071694704416418e-02 7.984092018048364325e-01 1.907832528401021577e+00 9.694769998045157378e-01 1.615436953796062447e+00 4.579169525113996997e+00 -8.073439011299675331e+05 -5.811860337324063294e+06
3.960437702049754982e-01 2.234105411636548230e-02 7.896024656749747184e-01 2.711490446832467427e+00 9.697681939524093186e-01 7.345751565735614275e-01 4.780927667271555492e+00 -1.646616681916462258e+06 -6.651133118110558018e+06
